minmax,false,0,287
minmax,true,141.25945,263
minmax,false,0,83
minmax,false,0,275
minmax,true,127.874016,37
minmax,false,0,175
minmax,false,0,171
minmax,false,0,101
minmax,false,0,106
minmax,true,106.53595,42
minmax,false,0,19
minmax,false,0,59
minmax,false,0,122
minmax,true,121.05597,312
minmax,true,151.76471,25
minmax,false,0,719
expectimax,true,132.25806,8
expectimax,false,0,103
expectimax,true,164.11523,76
expectimax,true,147.77777,10
expectimax,true,112.987015,25
expectimax,true,108.196724,37
expectimax,false,0,49
expectimax,false,0,36
expectimax,false,0,23
expectimax,true,126.99301,42
expectimax,true,167.87402,41
expectimax,false,0,33
expectimax,true,130.75269,30
expectimax,true,124.03226,79
